Year,Job Family,Total Salary
2015,Fire Services,131072.54
2014,Fire Services,135199.27
2013,Fire Services,140870.5
2016,Fire Services,157544.62
2015,Fire Services,142013.56
2014,Fire Services,125019.73
2013,Fire Services,150987.95
2016,Fire Services,13056.15
2016,Fire Services,38497.49
2016,Fire Services,157284.62
2015,Fire Services,149837.59
2014,Fire Services,159915.27
2013,Fire Services,148718.88
2016,Fire Services,202616.91
2015,Fire Services,192454.19
2014,Fire Services,164254.01
2013,Fire Services,145043.59
2016,Fire Services,143728.52
2016,Fire Services,153274.6
2015,Fire Services,149169.09
2014,Fire Services,152440.5
2013,Fire Services,158747.0
2016,Fire Services,95952.35
2015,Fire Services,52065.65
2016,Fire Services,37925.38
2016,Fire Services,4320.0
2015,Fire Services,141546.8
2014,Fire Services,145041.83
2013,Fire Services,158108.03
2016,Fire Services,175095.47
2015,Fire Services,160006.44
2014,Fire Services,188968.91
2013,Fire Services,187258.66
2016,Fire Services,139254.23
2015,Fire Services,135498.64
2014,Fire Services,132483.34
2013,Fire Services,142750.88
2016,Fire Services,171199.08
2015,Fire Services,22167.69
2015,Fire Services,145989.78
2014,Fire Services,164986.8
2016,Fire Services,167221.92
2015,Fire Services,164396.57
2014,Fire Services,162707.24
2013,Fire Services,169986.64
2014,Fire Services,148117.1
2013,Fire Services,200254.35
2016,Fire Services,40891.25
2016,Fire Services,151849.41
2015,Fire Services,153083.6
2014,Fire Services,169593.68
2013,Fire Services,167849.78
2013,Fire Services,12577.5
2016,Fire Services,153853.99
2015,Fire Services,144373.77
2014,Fire Services,147979.15
2013,Fire Services,154212.9
2016,Fire Services,20172.56
2015,Fire Services,138148.04
2014,Fire Services,177257.95
2013,Fire Services,184953.8
2015,Fire Services,76439.02
2014,Fire Services,145348.84
2013,Fire Services,165897.15
2013,Fire Services,76553.73
2016,Fire Services,175977.36
2015,Fire Services,237938.4
2014,Fire Services,242028.08
2013,Fire Services,227369.34
2016,Fire Services,154717.06
2015,Fire Services,143403.99
