Year,Job Family,Total Salary
2016,Fire Services,227292.94
2015,Fire Services,259247.78
2014,Fire Services,222086.26
2013,Fire Services,237967.54
2014,Fire Services,12577.5
2016,Fire Services,176815.72
2015,Fire Services,149527.52
2014,Fire Services,154958.28
2013,Fire Services,169786.34
2016,Fire Services,175767.9
2015,Fire Services,157877.65
2014,Fire Services,160124.63
2013,Fire Services,174551.32
2016,Fire Services,187297.78
2015,Fire Services,155024.68
2014,Fire Services,7251.26
2014,Fire Services,182028.13
2013,Fire Services,159299.02
2014,Fire Services,126082.21
2013,Fire Services,23390.38
2013,Fire Services,172017.44
2016,Fire Services,132413.2
2015,Fire Services,134619.55
2014,Fire Services,134339.42
2013,Fire Services,139600.13
2016,Fire Services,164310.33
2016,Fire Services,154841.54
2015,Fire Services,158644.36
2014,Fire Services,136403.22
2013,Fire Services,132900.46
2015,Fire Services,3231.56
2016,Fire Services,75506.13
2016,Fire Services,211513.62
2015,Fire Services,221761.18
2014,Fire Services,188044.75
2013,Fire Services,178260.06
2016,Fire Services,253702.2
2015,Fire Services,240492.37
2014,Fire Services,195425.65
2013,Fire Services,229216.66
2016,Fire Services,146226.82
2015,Fire Services,148891.6
2014,Fire Services,158042.45
2013,Fire Services,215442.68
2015,Fire Services,166324.02
2014,Fire Services,157008.32
2013,Fire Services,171513.12
2022,Fire Services,265977.13
2022,Fire Services,169491.33
2022,Fire Services,114583.41
2022,Fire Services,228116.2
2022,Fire Services,59087.72
2022,Fire Services,129106.98
2022,Fire Services,347151.71
2022,Fire Services,191874.4
2022,Fire Services,301633.64
2022,Fire Services,206483.63
2022,Fire Services,96645.33
2022,Fire Services,154745.86
2022,Fire Services,215932.91
2022,Fire Services,209780.05
2022,Fire Services,391.9
2022,Fire Services,153321.0
2022,Fire Services,221532.1
2022,Fire Services,256117.5
2022,Fire Services,282724.27
2022,Fire Services,230398.68
2022,Fire Services,230102.15
2022,Fire Services,117884.4
2022,Fire Services,340571.01
2022,Fire Services,209212.66
2022,Fire Services,178921.71
2022,Fire Services,289985.24
2022,Fire Services,129026.9
2022,Fire Services,330415.15
2022,Fire Services,77291.53
2022,Fire Services,264525.96
2022,Fire Services,206081.07
2022,Fire Services,199308.55
2022,Fire Services,215787.45
2022,Fire Services,231942.28
2022,Fire Services,271080.88
2022,Fire Services,123643.5
2022,Fire Services,163689.88
2022,Fire Services,33892.46
2022,Fire Services,31650.67
2022,Fire Services,288190.21
2022,Fire Services,152896.25
2022,Fire Services,8066.8
2022,Fire Services,234027.98
2022,Fire Services,207356.58
2022,Fire Services,211678.32
2022,Fire Services,38410.08
2022,Fire Services,123214.63
2022,Fire Services,204068.97
2022,Fire Services,254400.26
2022,Fire Services,220300.53
2022,Fire Services,218063.36
2022,Fire Services,124773.15
2022,Fire Services,161290.75
2022,Fire Services,183739.87
2022,Fire Services,136439.57
2022,Fire Services,7385.3
2023,Fire Services,186403.74
2023,Fire Services,154532.18
2023,Fire Services,240265.15
2023,Fire Services,6793.84
2023,Fire Services,488745.61
2023,Fire Services,85107.18
2023,Fire Services,94358.06
2023,Fire Services,202936.25
2023,Fire Services,118432.7
2023,Fire Services,335109.65
2023,Fire Services,199297.31
2023,Fire Services,317291.24
2023,Fire Services,265860.72
2023,Fire Services,181552.88
2023,Fire Services,189530.34
2023,Fire Services,231732.54
2023,Fire Services,212075.77
2023,Fire Services,336994.69
2023,Fire Services,174040.41
2023,Fire Services,118924.69
2023,Fire Services,128831.09
2023,Fire Services,109325.32
2023,Fire Services,115199.77
2023,Fire Services,100591.67
2023,Fire Services,98399.13
2023,Fire Services,218446.85
2023,Fire Services,222294.59
2023,Fire Services,200455.23
2023,Fire Services,166764.76
2023,Fire Services,105657.67
2023,Fire Services,185826.46
2023,Fire Services,251459.54
2023,Fire Services,182162.76
2023,Fire Services,263065.62
2023,Fire Services,304065.83
2023,Fire Services,178932.04
2023,Fire Services,181539.61
2023,Fire Services,42190.18
2023,Fire Services,262285.4
2023,Fire Services,284064.01
2023,Fire Services,198466.54
2023,Fire Services,185014.09
2023,Fire Services,18146.21
2023,Fire Services,219464.94
2023,Fire Services,183854.62
2023,Fire Services,173748.96
2023,Fire Services,140970.41
2023,Fire Services,183478.06
2023,Fire Services,265505.98
2023,Fire Services,202444.63
2023,Fire Services,254410.79
2023,Fire Services,109314.8
2023,Fire Services,111136.62
2023,Fire Services,4946.57
2023,Fire Services,213760.07
2023,Fire Services,99253.06
2023,Fire Services,129466.57
2023,Fire Services,4110.14
2023,Fire Services,281012.86
2023,Fire Services,179595.65
2023,Fire Services,135339.74
2023,Fire Services,343724.84
2023,Fire Services,185161.78
2023,Fire Services,4662.39
2023,Fire Services,194535.83
2023,Fire Services,248337.93
2023,Fire Services,254479.06
2023,Fire Services,128673.53
2023,Fire Services,164726.08
2018,Fire Services,137604.78
2018,Fire Services,191095.93
2018,Fire Services,182000.4
2018,Fire Services,200418.0
2018,Fire Services,3186.87
2018,Fire Services,231737.38
2018,Fire Services,182302.27
2018,Fire Services,147848.23
2018,Fire Services,154263.65
2018,Fire Services,168433.7
2018,Fire Services,736.06
2018,Fire Services,122862.12
2018,Fire Services,152780.37
2018,Fire Services,182395.06
2018,Fire Services,115271.06
2018,Fire Services,149806.23
2018,Fire Services,1692.46
2018,Fire Services,145476.61
2018,Fire Services,139935.06
2018,Fire Services,203990.71
2018,Fire Services,141004.59
2018,Fire Services,149911.44
2018,Fire Services,116175.42
2018,Fire Services,165720.14
2018,Fire Services,228375.96
2018,Fire Services,37700.4
2018,Fire Services,120543.31
2018,Fire Services,269081.81
2018,Fire Services,138930.93
2018,Fire Services,137309.64
2018,Fire Services,155629.11
2018,Fire Services,295727.38
2018,Fire Services,160987.62
2018,Fire Services,240903.14
2018,Fire Services,190991.96
2018,Fire Services,141255.23
2018,Fire Services,191518.04
2018,Fire Services,141009.56
2018,Fire Services,165306.8
2018,Fire Services,167299.75
2018,Fire Services,143559.25
2018,Fire Services,215816.18
2018,Fire Services,94254.16
2018,Fire Services,214727.06
2018,Fire Services,88994.39
2018,Fire Services,202463.74
2018,Fire Services,112013.54
2018,Fire Services,224570.62
2018,Fire Services,70759.8
2018,Fire Services,126208.41
2018,Fire Services,4235.96
2018,Fire Services,98006.46
2018,Fire Services,97548.01
2018,Fire Services,150448.88
2018,Fire Services,122010.73
2018,Fire Services,84903.5
2018,Fire Services,85696.44
2018,Fire Services,86165.85
2018,Fire Services,58790.56
2018,Fire Services,60617.35
2018,Fire Services,112147.87
2018,Fire Services,87351.05
2018,Fire Services,7793.65
2019,Fire Services,64115.42
2019,Fire Services,167388.42
2019,Fire Services,233156.83
2019,Fire Services,206354.74
2019,Fire Services,190994.37
2019,Fire Services,152838.01
2019,Fire Services,22631.41
2019,Fire Services,252530.66
2019,Fire Services,193370.99
2019,Fire Services,138741.99
2019,Fire Services,179870.62
2019,Fire Services,155866.55
2019,Fire Services,253004.98
2019,Fire Services,180111.37
2019,Fire Services,216240.9
2019,Fire Services,293170.25
2019,Fire Services,149059.23
2019,Fire Services,164550.03
2019,Fire Services,181849.31
2019,Fire Services,143450.29
2019,Fire Services,277191.93
2019,Fire Services,175469.02
2019,Fire Services,235076.26
2019,Fire Services,201698.45
2019,Fire Services,211355.57
2019,Fire Services,175176.95
2019,Fire Services,167870.26
2019,Fire Services,169408.7
2019,Fire Services,155678.37
2019,Fire Services,135278.15
2019,Fire Services,143815.22
2019,Fire Services,166177.43
2019,Fire Services,139434.55
2019,Fire Services,91393.24
2019,Fire Services,169438.83
2019,Fire Services,95485.66
2019,Fire Services,153564.01
2019,Fire Services,190726.49
2019,Fire Services,138929.14
2019,Fire Services,223238.91
2019,Fire Services,105632.22
2019,Fire Services,1683.33
2019,Fire Services,107024.71
2019,Fire Services,222211.97
2019,Fire Services,233549.35
2019,Fire Services,214921.53
2019,Fire Services,140453.48
2019,Fire Services,117172.1
2019,Fire Services,108207.22
2019,Fire Services,219976.01
2019,Fire Services,171513.69
2019,Fire Services,124028.34
2019,Fire Services,106610.92
2019,Fire Services,169705.93
2019,Fire Services,127326.54
2019,Fire Services,151683.24
2019,Fire Services,164422.84
2017,Fire Services,170048.29
2017,Fire Services,153138.46
2017,Fire Services,142133.77
2017,Fire Services,207416.39
2017,Fire Services,137016.68
2017,Fire Services,139775.5
2017,Fire Services,152148.51
2017,Fire Services,135418.49
2017,Fire Services,88655.52
2017,Fire Services,141265.75
2017,Fire Services,102664.76
2017,Fire Services,17628.0
2017,Fire Services,152089.76
2017,Fire Services,1530.76
2017,Fire Services,4437.68
2017,Fire Services,6426.79
2017,Fire Services,8019.47
2017,Fire Services,129605.26
2017,Fire Services,141247.45
2017,Fire Services,166187.15
2017,Fire Services,42003.03
2017,Fire Services,119392.94
2017,Fire Services,23064.13
2017,Fire Services,330040.95
2017,Fire Services,190954.25
2017,Fire Services,103741.33
2017,Fire Services,84.35
2017,Fire Services,121948.26
2017,Fire Services,158682.29
2017,Fire Services,149194.66
2017,Fire Services,126107.1
2017,Fire Services,86632.05
2017,Fire Services,133569.54
2017,Fire Services,209649.96
2017,Fire Services,159559.97
2017,Fire Services,1155.15
2017,Fire Services,287925.61
2017,Fire Services,196309.47
2017,Fire Services,144275.36
2017,Fire Services,132912.01
2017,Fire Services,107264.99
2017,Fire Services,103918.8
2017,Fire Services,84763.71
2017,Fire Services,115753.44
2017,Fire Services,192128.28
2017,Fire Services,229176.36
2017,Fire Services,155846.4
2017,Fire Services,129570.93
2017,Fire Services,197643.59
2017,Fire Services,143798.72
2017,Fire Services,140779.09
2017,Fire Services,212670.19
2017,Fire Services,165129.03
2017,Fire Services,131029.92
2017,Fire Services,170652.23
2017,Fire Services,144293.39
2017,Fire Services,170679.9
2017,Fire Services,169775.33
2017,Fire Services,161319.3
2017,Fire Services,286027.29
2017,Fire Services,197870.29
2017,Fire Services,251089.79
2020,Fire Services,158480.77
2020,Fire Services,199574.2
2020,Fire Services,17586.8
2020,Fire Services,239867.94
2020,Fire Services,187419.98
2020,Fire Services,83436.9
2020,Fire Services,176296.62
2020,Fire Services,133853.07
2020,Fire Services,88856.28
2020,Fire Services,90855.94
2020,Fire Services,192601.17
2020,Fire Services,187221.8
2020,Fire Services,118655.29
2020,Fire Services,150022.7
2020,Fire Services,21822.19
2020,Fire Services,149360.83
2020,Fire Services,241226.73
2020,Fire Services,79905.63
2020,Fire Services,136132.89
2020,Fire Services,159690.21
2020,Fire Services,195339.8
2020,Fire Services,171068.48
2020,Fire Services,157486.94
2020,Fire Services,96302.25
2020,Fire Services,202617.81
2020,Fire Services,116087.14
2020,Fire Services,179024.27
2020,Fire Services,190777.68
2020,Fire Services,103443.63
2020,Fire Services,223070.81
2020,Fire Services,111201.07
2020,Fire Services,176723.09
2020,Fire Services,146502.43
2020,Fire Services,162920.39
2020,Fire Services,178040.53
2020,Fire Services,138317.58
2020,Fire Services,99041.5
2020,Fire Services,220849.02
2020,Fire Services,160727.46
2020,Fire Services,223053.82
2020,Fire Services,159484.09
2020,Fire Services,218534.43
2020,Fire Services,93331.17
2021,Fire Services,61394.0
2021,Fire Services,197118.15
2021,Fire Services,276453.47
2021,Fire Services,58321.95
2021,Fire Services,242570.66
2021,Fire Services,193583.89
2021,Fire Services,172378.21
2021,Fire Services,152970.7
2021,Fire Services,16536.65
2021,Fire Services,16536.65
2021,Fire Services,194714.93
2021,Fire Services,50333.09
2021,Fire Services,130494.22
2021,Fire Services,172974.49
2021,Fire Services,111255.81
2021,Fire Services,30504.5
2021,Fire Services,266328.08
2021,Fire Services,178368.37
2021,Fire Services,167583.07
2021,Fire Services,180522.97
2021,Fire Services,172085.53
2021,Fire Services,2942.0
2021,Fire Services,234266.05
2021,Fire Services,606.42
2021,Fire Services,240595.57
2021,Fire Services,112355.23
2021,Fire Services,144252.33
2021,Fire Services,97751.04
2021,Fire Services,9172.34
2021,Fire Services,174375.58
2021,Fire Services,241447.37
2021,Fire Services,220249.74
2021,Fire Services,116432.54
2021,Fire Services,168633.39
2021,Fire Services,274842.21
2021,Fire Services,134480.74
2021,Fire Services,110782.69
2021,Fire Services,230687.4
2021,Fire Services,191073.51
2021,Fire Services,200053.14
2021,Fire Services,165045.11
2021,Fire Services,329688.8
2021,Fire Services,185903.16
2021,Fire Services,214906.96
2021,Fire Services,265221.47
2021,Fire Services,106392.5
2021,Fire Services,194258.94
2021,Fire Services,86544.82
2021,Fire Services,208438.95
2021,Fire Services,124234.79
2021,Fire Services,109504.39
2021,Fire Services,252342.35
2021,Fire Services,179557.29
2021,Fire Services,155594.01
2021,Fire Services,202599.9
2021,Fire Services,321125.8
2021,Fire Services,237949.44
2022,Fire Services,182072.42
2022,Fire Services,114314.48
2022,Fire Services,153550.3
2022,Fire Services,116646.64
2022,Fire Services,202753.32
2022,Fire Services,17952.25
2022,Fire Services,261735.18
2022,Fire Services,259881.42
2022,Fire Services,195783.65
2022,Fire Services,215295.25
2022,Fire Services,257135.85
2022,Fire Services,118263.02
2022,Fire Services,225145.92
2022,Fire Services,142470.52
2022,Fire Services,251672.38
2022,Fire Services,215957.15
2022,Fire Services,173481.44
2022,Fire Services,198759.35
2022,Fire Services,226047.36
2022,Fire Services,181384.47
2022,Fire Services,199707.22
2022,Fire Services,224494.88
2022,Fire Services,4085.57
2022,Fire Services,212047.38
2022,Fire Services,63875.57
2022,Fire Services,195028.07
2022,Fire Services,138510.57
2022,Fire Services,162618.24
2022,Fire Services,74691.26
2022,Fire Services,207847.5
2022,Fire Services,42763.14
2022,Fire Services,44940.96
2022,Fire Services,413194.33
2022,Fire Services,199398.39
2022,Fire Services,218639.38
2022,Fire Services,292682.75
2022,Fire Services,235258.65
2022,Fire Services,195303.82
2022,Fire Services,220763.88
2022,Fire Services,66221.2
2022,Fire Services,52184.21
2022,Fire Services,303975.78
2022,Fire Services,358465.53
2022,Fire Services,196149.57
2022,Fire Services,161315.54
2022,Fire Services,122558.46
2022,Fire Services,10283.52
2022,Fire Services,48068.93
2022,Fire Services,184560.11
2022,Fire Services,196018.85
2022,Fire Services,197990.11
2022,Fire Services,195372.8
2023,Fire Services,207531.3
2023,Fire Services,250161.44
2023,Fire Services,292266.74
2023,Fire Services,189206.77
2023,Fire Services,177936.63
2023,Fire Services,6655.12
2023,Fire Services,139774.05
2023,Fire Services,98412.99
2023,Fire Services,134350.63
2023,Fire Services,98500.31
2023,Fire Services,5892.48
2023,Fire Services,273980.81
2023,Fire Services,168604.04
2023,Fire Services,224162.67
2023,Fire Services,46111.25
2023,Fire Services,238333.62
2023,Fire Services,203492.25
2023,Fire Services,126009.25
2023,Fire Services,341708.65
2023,Fire Services,7214.22
2023,Fire Services,238080.76
2023,Fire Services,186878.73
2023,Fire Services,5190.48
2023,Fire Services,181524.13
2023,Fire Services,161014.62
2023,Fire Services,159049.12
2023,Fire Services,173087.45
2023,Fire Services,259055.29
2023,Fire Services,324936.14
2023,Fire Services,211320.51
2023,Fire Services,222351.62
2023,Fire Services,263168.75
2023,Fire Services,288832.7
2023,Fire Services,199954.24
2023,Fire Services,131752.63
2023,Fire Services,3199.0
2023,Fire Services,4087.96
2023,Fire Services,4701.92
2023,Fire Services,196551.56
2023,Fire Services,42036.01
2023,Fire Services,142968.48
2023,Fire Services,220188.26
2023,Fire Services,197315.85
2023,Fire Services,143486.58
2023,Fire Services,148218.9
2023,Fire Services,61414.38
2023,Fire Services,220968.37
2023,Fire Services,16079.35
2023,Fire Services,269351.91
2023,Fire Services,198532.28
2023,Fire Services,229217.58
2023,Fire Services,188429.65
2023,Fire Services,231280.68
2023,Fire Services,181738.39
2023,Fire Services,206769.72
2023,Fire Services,227838.64
2023,Fire Services,94707.86
2023,Fire Services,80526.96
2023,Fire Services,141887.29
2023,Fire Services,123473.41
2023,Fire Services,316468.03
2023,Fire Services,136947.85
2023,Fire Services,272228.49
2023,Fire Services,184797.65
2023,Fire Services,176130.51
2023,Fire Services,161282.45
2018,Fire Services,171667.35
2018,Fire Services,169546.96
2018,Fire Services,156426.51
2018,Fire Services,211045.14
2018,Fire Services,139543.89
2018,Fire Services,161000.85
2018,Fire Services,137573.49
2018,Fire Services,201743.85
2018,Fire Services,176458.06
2018,Fire Services,245235.39
2018,Fire Services,168276.2
2018,Fire Services,201232.82
2018,Fire Services,4617.52
2018,Fire Services,142915.59
2018,Fire Services,198975.43
2018,Fire Services,137740.47
2018,Fire Services,140182.06
2018,Fire Services,120757.96
2018,Fire Services,186368.49
2018,Fire Services,189193.4
2018,Fire Services,182226.3
2018,Fire Services,197245.16
2018,Fire Services,326466.64
2018,Fire Services,135729.33
2018,Fire Services,137341.81
2018,Fire Services,149116.8
2018,Fire Services,191447.94
2018,Fire Services,122006.69
2018,Fire Services,103981.49
2018,Fire Services,153347.36
2018,Fire Services,178129.24
2018,Fire Services,116376.57
2018,Fire Services,193884.02
2018,Fire Services,153141.67
2018,Fire Services,149942.6
2018,Fire Services,118441.96
2018,Fire Services,142985.19
2018,Fire Services,156303.8
2018,Fire Services,474.8
2018,Fire Services,201328.59
2018,Fire Services,104343.47
2018,Fire Services,146932.57
2018,Fire Services,224362.1
2018,Fire Services,191881.8
2018,Fire Services,242855.18
2018,Fire Services,156588.6
2018,Fire Services,170862.98
2018,Fire Services,150109.3
2018,Fire Services,188325.06
2018,Fire Services,161819.88
2018,Fire Services,133450.42
2018,Fire Services,79650.35
2018,Fire Services,92874.63
2018,Fire Services,113742.13
2018,Fire Services,90762.7
2018,Fire Services,67872.97
2018,Fire Services,62927.96
2018,Fire Services,119808.33
2018,Fire Services,11429.96
2019,Fire Services,167371.17
2019,Fire Services,320281.62
2019,Fire Services,238602.25
2019,Fire Services,104037.36
2019,Fire Services,184328.9
2019,Fire Services,77653.55
2019,Fire Services,140366.44
2019,Fire Services,164267.14
2019,Fire Services,143223.83
2019,Fire Services,203419.75
2019,Fire Services,170118.42
2019,Fire Services,120442.18
2019,Fire Services,303064.57
2019,Fire Services,154461.79
2019,Fire Services,164299.98
2019,Fire Services,153356.3
2019,Fire Services,205942.01
2019,Fire Services,126408.19
2019,Fire Services,159533.31
2019,Fire Services,14026.5
2019,Fire Services,15585.0
2019,Fire Services,142535.3
2019,Fire Services,184115.62
2019,Fire Services,143103.75
2019,Fire Services,111336.22
2019,Fire Services,150951.17
2019,Fire Services,143688.53
2019,Fire Services,125188.53
2019,Fire Services,121416.13
2019,Fire Services,116747.06
2019,Fire Services,15585.0
2019,Fire Services,139296.1
2019,Fire Services,149154.83
2019,Fire Services,133629.83
2019,Fire Services,185309.56
2019,Fire Services,131253.71
2019,Fire Services,110610.0
2019,Fire Services,129986.41
2019,Fire Services,96170.37
2019,Fire Services,133957.35
2019,Fire Services,92188.86
2019,Fire Services,191257.38
2019,Fire Services,87506.32
2019,Fire Services,96116.64
2019,Fire Services,155497.22
2019,Fire Services,220366.08
2019,Fire Services,182392.34
2019,Fire Services,163647.68
2019,Fire Services,75594.3
2019,Fire Services,76755.03
2019,Fire Services,162508.03
2019,Fire Services,144253.84
2019,Fire Services,148529.49
2019,Fire Services,20385.81
2017,Fire Services,160237.73
2017,Fire Services,138625.11
2017,Fire Services,202584.39
2017,Fire Services,128784.0
2017,Fire Services,164097.39
2017,Fire Services,114624.78
2017,Fire Services,53476.04
2017,Fire Services,99930.58
2017,Fire Services,17628.0
2017,Fire Services,191756.85
2017,Fire Services,168480.79
2017,Fire Services,13808.6
2017,Fire Services,156289.56
2017,Fire Services,203564.83
2017,Fire Services,153088.53
2017,Fire Services,153060.59
2017,Fire Services,8120.33
2017,Fire Services,172117.67
2017,Fire Services,161561.0
2017,Fire Services,149888.92
2017,Fire Services,191739.86
2017,Fire Services,148982.5
2017,Fire Services,145918.95
2017,Fire Services,109949.52
2017,Fire Services,107812.86
2017,Fire Services,32095.12
2017,Fire Services,143211.94
2017,Fire Services,161240.66
2017,Fire Services,152840.84
2017,Fire Services,143763.54
2017,Fire Services,141383.54
2017,Fire Services,201567.45
2017,Fire Services,123612.92
2017,Fire Services,202902.85
2017,Fire Services,86242.25
2017,Fire Services,133655.51
2017,Fire Services,87897.03
2017,Fire Services,136964.06
2017,Fire Services,75142.67
2017,Fire Services,82632.75
2017,Fire Services,108888.74
2017,Fire Services,83013.82
2017,Fire Services,161566.49
2017,Fire Services,93941.55
2017,Fire Services,159176.89
2017,Fire Services,188326.63
2017,Fire Services,210171.45
2017,Fire Services,162122.67
2017,Fire Services,227087.67
2017,Fire Services,201812.59
2017,Fire Services,172077.95
2017,Fire Services,235530.51
2017,Fire Services,142868.68
2017,Fire Services,128784.96
2017,Fire Services,194769.99
2020,Fire Services,185915.0
2020,Fire Services,243069.44
2020,Fire Services,149031.46
2020,Fire Services,108616.68
2020,Fire Services,151109.24
2020,Fire Services,234144.58
2020,Fire Services,157538.17
2020,Fire Services,158437.04
2020,Fire Services,93297.07
2020,Fire Services,91137.19
2020,Fire Services,207847.11
2020,Fire Services,139040.73
2020,Fire Services,150478.74
2020,Fire Services,214754.13
2020,Fire Services,107006.6
2020,Fire Services,158392.67
2020,Fire Services,272532.1
2020,Fire Services,39551.37
2020,Fire Services,157044.78
2020,Fire Services,154047.02
2020,Fire Services,163921.4
2020,Fire Services,140221.67
2020,Fire Services,142183.72
2020,Fire Services,10739.49
2020,Fire Services,157133.65
2020,Fire Services,107601.36
2020,Fire Services,89338.57
2020,Fire Services,135222.71
2020,Fire Services,216844.69
2020,Fire Services,143993.67
2020,Fire Services,378124.78
2020,Fire Services,11508.65
2020,Fire Services,267478.36
2020,Fire Services,212157.99
2020,Fire Services,170834.72
2020,Fire Services,130033.29
2020,Fire Services,103279.86
2020,Fire Services,130336.91
2020,Fire Services,55182.52
2020,Fire Services,352597.81
2020,Fire Services,168539.59
2020,Fire Services,98337.85
2020,Fire Services,71527.87
2020,Fire Services,187299.28
2020,Fire Services,154724.76
2020,Fire Services,91737.31
2020,Fire Services,210765.95
2020,Fire Services,172429.33
2020,Fire Services,98713.43
2020,Fire Services,91407.2
2021,Fire Services,173235.81
2021,Fire Services,212273.01
2021,Fire Services,165088.38
2021,Fire Services,171204.73
2021,Fire Services,176704.03
2021,Fire Services,153073.99
2021,Fire Services,161395.26
2021,Fire Services,152935.78
2021,Fire Services,190287.44
2021,Fire Services,265164.33
2021,Fire Services,335416.82
2021,Fire Services,144647.12
2021,Fire Services,184119.82
2021,Fire Services,2942.0
2021,Fire Services,179649.24
2021,Fire Services,186472.48
2021,Fire Services,132641.64
2021,Fire Services,150785.03
2021,Fire Services,189847.85
2021,Fire Services,171445.65
2021,Fire Services,165362.01
2021,Fire Services,283014.77
2021,Fire Services,170945.51
2021,Fire Services,177120.08
2021,Fire Services,287295.82
2021,Fire Services,246703.21
2021,Fire Services,41134.4
2021,Fire Services,100506.5
2021,Fire Services,122706.95
2021,Fire Services,440174.36
2021,Fire Services,228100.71
2021,Fire Services,221207.08
2021,Fire Services,151975.91
2021,Fire Services,184454.17
2021,Fire Services,143184.01
2021,Fire Services,294230.31
2021,Fire Services,225238.25
2021,Fire Services,219585.06
2021,Fire Services,350095.63
2021,Fire Services,114683.79
2021,Fire Services,110342.34
2021,Fire Services,186756.57
2021,Fire Services,104778.58
2021,Fire Services,171731.77
2021,Fire Services,172384.64
2021,Fire Services,89951.73
2021,Fire Services,189268.13
2021,Fire Services,171711.14
2021,Fire Services,95227.27
2021,Fire Services,81325.76
2021,Fire Services,204163.22
2021,Fire Services,224628.8
2021,Fire Services,215334.63
2021,Fire Services,125043.48
2021,Fire Services,166618.97
2021,Fire Services,94793.65
2021,Fire Services,91472.94
2022,Fire Services,235799.27
2022,Fire Services,291765.41
2022,Fire Services,111208.64
2022,Fire Services,197398.8
2022,Fire Services,203025.14
2022,Fire Services,149005.58
2022,Fire Services,164006.95
2022,Fire Services,207475.94
2022,Fire Services,334501.9
2022,Fire Services,218265.14
2022,Fire Services,20786.34
2022,Fire Services,110516.68
2022,Fire Services,52959.68
2022,Fire Services,187678.23
2022,Fire Services,237679.89
2022,Fire Services,103727.78
2022,Fire Services,11238.5
2022,Fire Services,190096.13
2022,Fire Services,333087.41
2022,Fire Services,300952.82
2022,Fire Services,67398.31
2022,Fire Services,142933.96
2022,Fire Services,207804.03
2022,Fire Services,260985.98
2022,Fire Services,114235.15
2022,Fire Services,188154.64
2022,Fire Services,176327.32
2022,Fire Services,145408.28
2022,Fire Services,209810.03
2022,Fire Services,162229.3
2022,Fire Services,256141.91
2022,Fire Services,291592.12
2022,Fire Services,1943.23
2022,Fire Services,45155.74
2022,Fire Services,224662.52
2022,Fire Services,267533.57
2022,Fire Services,194419.43
2022,Fire Services,203793.73
2022,Fire Services,260354.59
2022,Fire Services,165339.77
2022,Fire Services,200111.69
2022,Fire Services,175822.32
2022,Fire Services,179688.3
2022,Fire Services,207407.94
2022,Fire Services,180496.71
2022,Fire Services,137774.84
2022,Fire Services,82885.85
2022,Fire Services,212156.8
2022,Fire Services,200460.3
2022,Fire Services,273.87
2022,Fire Services,201635.01
2022,Fire Services,234041.5
2022,Fire Services,192988.43
2022,Fire Services,148039.15
2022,Fire Services,73029.45
2023,Fire Services,169369.62
2023,Fire Services,92239.77
2023,Fire Services,248598.52
2023,Fire Services,132095.06
2023,Fire Services,214403.75
2023,Fire Services,262232.51
2023,Fire Services,174682.61
2023,Fire Services,145513.87
2023,Fire Services,121595.38
2023,Fire Services,311367.85
2023,Fire Services,213354.6
2023,Fire Services,205513.9
2023,Fire Services,99688.52
2023,Fire Services,221812.71
2023,Fire Services,113692.08
2023,Fire Services,187343.8
2023,Fire Services,244446.61
2023,Fire Services,68969.64
2023,Fire Services,85216.73
2023,Fire Services,193226.21
2023,Fire Services,164023.62
2023,Fire Services,159669.22
2023,Fire Services,180300.11
2023,Fire Services,43498.66
2023,Fire Services,265712.35
2023,Fire Services,204473.98
2023,Fire Services,178443.17
2023,Fire Services,388861.91
2023,Fire Services,224006.6
2023,Fire Services,133520.98
2023,Fire Services,19024.88
2023,Fire Services,213966.8
2023,Fire Services,172994.13
2023,Fire Services,190456.57
2023,Fire Services,200633.43
2023,Fire Services,73119.62
2023,Fire Services,196081.55
2023,Fire Services,155297.26
2023,Fire Services,227178.46
2023,Fire Services,228366.74
2023,Fire Services,174970.36
2023,Fire Services,147015.56
2023,Fire Services,117528.03
2023,Fire Services,153633.39
2023,Fire Services,206136.08
2023,Fire Services,168863.27
2023,Fire Services,385667.62
2023,Fire Services,219506.1
2023,Fire Services,119114.44
2023,Fire Services,244622.34
2023,Fire Services,144772.2
2018,Fire Services,11.6
2018,Fire Services,155578.07
2018,Fire Services,148035.68
2018,Fire Services,175112.99
2018,Fire Services,145295.15
2018,Fire Services,187443.82
2018,Fire Services,238519.15
2018,Fire Services,219579.5
2018,Fire Services,175399.74
2018,Fire Services,213137.9
2018,Fire Services,163841.98
2018,Fire Services,177698.09
2018,Fire Services,195074.14
2018,Fire Services,169287.41
2018,Fire Services,175835.76
2018,Fire Services,137840.45
2018,Fire Services,152379.03
2018,Fire Services,162744.48
2018,Fire Services,157813.4
2018,Fire Services,138722.66
2018,Fire Services,164033.06
2018,Fire Services,130805.68
2018,Fire Services,170597.75
2018,Fire Services,143238.14
2018,Fire Services,142453.65
2018,Fire Services,178911.64
2018,Fire Services,148696.59
2018,Fire Services,156804.14
2018,Fire Services,96654.65
2018,Fire Services,200368.02
2018,Fire Services,108232.95
2018,Fire Services,6446.66
2018,Fire Services,167490.87
2018,Fire Services,172319.3
2018,Fire Services,121641.8
2018,Fire Services,158907.07
2018,Fire Services,282703.56
2018,Fire Services,151816.75
2018,Fire Services,136601.58
2018,Fire Services,153162.28
2018,Fire Services,176981.71
2018,Fire Services,96224.18
2018,Fire Services,238367.67
2018,Fire Services,164741.18
2018,Fire Services,144826.74
2018,Fire Services,159741.04
